id (SC),time
VyRNPiF-Kdc,	4:15-6:15
feaZ1hzLTcU,	0:40-2:40
22ebdZGPzNw,	0:00-2:00
KqG71rk3dZM,	1:00-3:00
JKLp5hCxUiA,	10:00-12:00
VRMTRZLoli8,	4:45-6:45
jGs5w3cov7A,	3:10-5:10
8N_XqvfQN-k,	5:20-7:20
o88firD4o4U,	5:15-7:15
jsRcVxG3Z4s,	4:50-6:50

id (HiB),time
15BRcuewPSs,   	7:10-9:10
TOw4mwUl-6o,   	15:45-17:45
5yvYnolI7uc,   	3:00-5:00
eKWv0BN6Pl4,   	2:00-4:00
rrMR0_PxzSY,   	2:00-4:00
W7G1tTrRP0Y,   	1:00-3:00
an-sPBcCN90,   	1:15-3:15
H3u4FUXe3hI,   	2:10-4:10
qd514DduxRk,   	1:00-3:00
W-OI-nX59Ds,   	2:50-4:50

id (HP),time
o4YeWrld9qs,   	10:12-12:12
pK4_hmeiEV8,   	6:18-8:18
2mUYSAJVev4,   	7:30-9:30
MwJEtijz5fU,   	9:50-11:50
v8CFX9ediZQ,   	7:35-9:35
uJvK2OQslD8,   	2:00-4:00
cMYgif4ponc,   	4:00-6:00
K5YjixDnwvI,   	0:10-2:10
P-rtFEVNDQQ,   	5:20-7:20
qXfUMtp_yFE,   	0:30-2:30

id (BnL),time
EPhLb-gME8Q,   	2:00-4:00
RKNI8dLGQyU,   	32:00-34:00
6gl6IGCnIiw,   	6:20-8:20
66woxFcScvg,   	2:00-4:00
ENVh9KGJPKE,   	4:00-6:00
cS-IYblgDNY,   	0:01-2:01
YtfREQbh3TM,   	0:01-2:01
BoPqTaPP6co,   	0:01-2:01
loOdZ_wL1fc,   	0:01-2:01
2Ac4UCO_cs8,   	5:00-7:00

id (ES),time
JdKbiijmNnM,   	2:00-4:00
JdKbiijmNnM,   	5:30-7:30
nSQ75EfX1Zs,   	2:00-4:00
J1C2oRy4BiU,   	2:00-4:00
J1C2oRy4BiU,   	5:00-7:00
dgjkgBKHiK4,   	2:30-4:30
dgjkgBKHiK4,   	6:00-8:00
RKFkKcd3XHc,   	2:00-4:00
RKFkKcd3XHc,   	4:30-6:30
h6BZ51I3Kcs,   	0:42-2:42

id (SBW),time
5CLEbihniBI,   	4:00-6:00
5CLEbihniBI,   	8:00-10:00
deZu4vTh7gk,   	3:30-5:30
hxJ6ULBGoXg,   	3:30-5:30
eLQv5nOTgIc,   	4:00-6:00
0PiZJOozLP4,   	3:20-5:20
shwKo1CmOFo,   	1:22-3:22
K_qB2woAxhY,   	1:50-3:50
K_qB2woAxhY,   	7:10-9:10
xbG6QkNnhn8,   	9:45-11:45


id (abo),time
ISd5oTsRIcs,   	6:50-8:50
rKb3vCdhcqQ,   	7:20-9:20
hHcgVf-xhSI,   	4:10-6:10
wu-d1ChHCRk,   	5:20-7:20
MvRnMh0J_Ik,   	5:40-7:40
Yn8gzpTt_6E,   	0:40-2:40
H413bPMjjOI,   	2:20-4:20
VSnbNDkbuXI,   	1:00-3:00
7Mc3Lq0fYKo,   	2:00-4:00
Lb80YuAMlmY,   	2:15-4:15

id (gr),time
9IYcyG7gcP4,   	9:00-11:00
7CsdKBg2KuE,   	44:40-46:40
RlmdMn8whn8,   	10:00-12:00
Ss6p5ASFs0I,   	6:50-8:50
KA-V1IOjZHg,   	13:00-15:00
FsitBJiDHS4,   	0:45-2:45
HRavIioKRCM,   	2:45-4:45
wzR4Ry1ykSY,   	2:30-4:30
o2huOwUSQXE,   	1:30-3:30
FLmk70mo4DY,   	3:30-5:30

id (K),time
BFZJaAnPp44,   	2:00-4:00
BFZJaAnPp44,   	8:00-10:00
Lu6pVJ2Vd6E,   	3:30-5:30
Lu6pVJ2Vd6E,   	10:00-12:00
ctPaunqeej4,   	4:45-6:45
2On1HNqNRxU,   	2:30-4:30
NkLSHgKAcWw,   	2:10-4:10
2SjuIhC4g5c,   	1:40-3:40
8aSEpxvp-EE,   	1:30-3:30
Jq8gy2T2kic,   	3:50-5:50

id (o),time
cPz3zvfe9aI,   	2:00-4:00
cPz3zvfe9aI,   	9:08-11:08
LRDGsvZECnY,   	5:00-7:00
bESQE7Tso8s,   	5:30-7:30
bESQE7Tso8s,   	10:30-12:30
ap556Zd-uME,   	4:20-6:20
ap556Zd-uME,   	11:50-13:50
mwBRt0y4h6E,   	7:20-9:20
FrGYT_mcduk,   	5:20-7:20
FrGYT_mcduk,   	17:20-19:20
